Rat,Day,Liquid,Stimulus,Pokes,Time,Sex
M1,23,Sucrose,During,76,17,Male
M1,23,Sucrose,Before,0,17,Male
M1,24,Water,During,82,17,Male
M1,24,Water,Before,3,17,Male
M1,25,Water,During,11,17,Male
M1,25,Water,Before,2,17,Male
M1,26,Sucrose,During,74,17,Male
M1,26,Sucrose,Before,0,17,Male
M1,27,Sucrose,During,92,17,Male
M1,27,Sucrose,Before,5,17,Male
N0,15,Water,During,38,18,Male
N0,15,Water,Before,7,18,Male
N0,16,Water,During,27,18,Male
N0,16,Water,Before,3,18,Male
N0,17,Sucrose,During,69,18,Male
N0,17,Sucrose,Before,19,18,Male
N0,18,Sucrose,During,76,18,Male
N0,18,Sucrose,Before,16,18,Male
N0,19,Water,During,5,18,Male
N0,19,Water,Before,6,18,Male
N0,20,Sucrose,During,77,18,Male
N0,20,Sucrose,Before,13,18,Male
N0,21,Water,During,28,18,Male
N0,21,Water,Before,10,18,Male
N0,22,Sucrose,During,95,18,Male
N0,22,Sucrose,Before,8,18,Male
N0,23,Sucrose,During,70,18,Male
N0,23,Sucrose,Before,10,18,Male
N0,24,Water,During,13,18,Male
N0,24,Water,Before,4,18,Male
N0,25,Water,During,12,18,Male
N0,25,Water,Before,3,18,Male
N0,26,Sucrose,During,82,18,Male
N0,26,Sucrose,Before,22,18,Male
N0,27,Sucrose,During,93,18,Male
N0,27,Sucrose,Before,5,18,Male
N1,15,Sucrose,During,67,19,Male
N1,15,Sucrose,Before,20,19,Male
N1,16,Water,During,7,19,Male
N1,16,Water,Before,4,19,Male
N1,17,Water,During,22,19,Male
N1,17,Water,Before,1,19,Male
N1,18,Sucrose,During,53,19,Male
N1,18,Sucrose,Before,8,19,Male
N1,19,Sucrose,During,66,19,Male
N1,19,Sucrose,Before,14,19,Male
N1,20,Sucrose,During,81,19,Male
N1,20,Sucrose,Before,14,19,Male
N1,21,Water,During,35,19,Male
N1,21,Water,Before,12,19,Male
N1,22,Sucrose,During,79,19,Male
N1,22,Sucrose,Before,8,19,Male
N1,23,Sucrose,During,110,19,Male
N1,23,Sucrose,Before,22,19,Male
N1,24,Sucrose,During,82,19,Male
N1,24,Sucrose,Before,6,19,Male
N1,25,Water,During,38,19,Male
N1,25,Water,Before,6,19,Male
N1,26,Water,During,26,19,Male
N1,26,Water,Before,0,19,Male
N1,27,Water,During,6,19,Male
N1,27,Water,Before,2,19,Male
